Mã hồ sơ,Nhóm lĩnh vực,Kênh nộp hồ sơ,Tháng phát sinh,Số ngày giải quyết,Kết quả đánh giá
DVC-2026-006050,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,26,Trễ hẹn
DVC-2026-007194,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,8,Đúng hạn
DVC-2026-001664,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,1,Đúng hạn
DVC-2026-000253,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,4,Đúng hạn
DVC-2026-001451,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,11,Đúng hạn
DVC-2026-004167,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-005528,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,25,Trễ hẹn
DVC-2026-009881,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,4,Đúng hạn
DVC-2026-001076,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 7,6,Đúng hạn
DVC-2026-008422,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,9,Đúng hạn
DVC-2026-000345,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,39,Trễ hẹn
DVC-2026-008347,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,10,Đúng hạn
DVC-2026-006244,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,30,Trễ hẹn
DVC-2026-009683,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,31,Trễ hẹn
DVC-2026-008386,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,9,Đúng hạn
DVC-2026-000668,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,7,Đúng hạn
DVC-2026-009540,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,31,Trễ hẹn
DVC-2026-008811,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,1,Đúng hạn
DVC-2026-001790,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,7,Đúng hạn
DVC-2026-009591,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,13,Đúng hạn
DVC-2026-006967,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-002020,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,9,Đúng hạn
DVC-2026-001969,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,1,Đúng hạn
DVC-2026-009187,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,9,Đúng hạn
DVC-2026-007933,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,26,Trễ hẹn
DVC-2026-006910,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 12,9,Đúng hạn
DVC-2026-006252,Xây dựng,Trực tuyến (DVC),Tháng 6,4,Đúng hạn
DVC-2026-009802,Xây dựng,Trực tuyến (DVC),Tháng 4,5,Đúng hạn
DVC-2026-007458,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,17,Trễ hẹn
DVC-2026-004965,Xây dựng,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-002624,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-001046,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 1,1,Đúng hạn
DVC-2026-007037,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,10,Đúng hạn
DVC-2026-009890,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,10,Đúng hạn
DVC-2026-003708,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,43,Trễ hẹn
DVC-2026-000310,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,10,Đúng hạn
DVC-2026-000546,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,3,Đúng hạn
DVC-2026-001887,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-009274,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,4,Đúng hạn
DVC-2026-004758,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-006213,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,15,Trễ hẹn
DVC-2026-006854,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,4,Đúng hạn
DVC-2026-003182,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,2,Đúng hạn
DVC-2026-003670,Xây dựng,Trực tuyến (DVC),Tháng 3,41,Trễ hẹn
DVC-2026-004480,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 10,2,Đúng hạn
DVC-2026-004427,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,25,Trễ hẹn
DVC-2026-008154,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-009262,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-000090,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,13,Đúng hạn
DVC-2026-009723,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,9,Đúng hạn
DVC-2026-006533,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,41,Trễ hẹn
DVC-2026-008834,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,9,Đúng hạn
DVC-2026-006452,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,13,Đúng hạn
DVC-2026-001820,Xây dựng,Trực tiếp tại quầy,Tháng 1,17,Trễ hẹn
DVC-2026-005916,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-000456,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-002743,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,11,Đúng hạn
DVC-2026-008626,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,37,Trễ hẹn
DVC-2026-002677,Xây dựng,Trực tiếp tại quầy,Tháng 11,1,Đúng hạn
DVC-2026-004738,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,8,Đúng hạn
DVC-2026-008442,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,41,Trễ hẹn
DVC-2026-001201,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,11,Đúng hạn
DVC-2026-003077,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,17,Trễ hẹn
DVC-2026-006210,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,6,Đúng hạn
DVC-2026-002326,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,41,Trễ hẹn
DVC-2026-006438,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,18,Trễ hẹn
DVC-2026-001821,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-001492,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,13,Đúng hạn
DVC-2026-007457,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,28,Trễ hẹn
DVC-2026-005642,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,1,Đúng hạn
DVC-2026-009535,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,13,Đúng hạn
DVC-2026-004194,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,2,Đúng hạn
DVC-2026-005871,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,9,Đúng hạn
DVC-2026-004076,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-007662,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 6,25,Trễ hẹn
DVC-2026-009230,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-005940,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,13,Đúng hạn
DVC-2026-006661,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 6,6,Đúng hạn
DVC-2026-009600,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,8,Đúng hạn
DVC-2026-000423,Xây dựng,Trực tuyến (DVC),Tháng 10,42,Trễ hẹn
DVC-2026-008899,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 7,8,Đúng hạn
DVC-2026-000852,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,11,Đúng hạn
DVC-2026-007784,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,1,Đúng hạn
DVC-2026-002506,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,1,Đúng hạn
DVC-2026-006444,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 7,13,Đúng hạn
DVC-2026-008192,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,33,Trễ hẹn
DVC-2026-007003,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,40,Trễ hẹn
DVC-2026-004968,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 12,8,Đúng hạn
DVC-2026-006874,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-008326,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,10,Đúng hạn
DVC-2026-001470,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,5,Đúng hạn
DVC-2026-003567,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 6,7,Đúng hạn
DVC-2026-005362,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,20,Trễ hẹn
DVC-2026-004244,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,10,Đúng hạn
DVC-2026-009386,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,13,Đúng hạn
DVC-2026-004422,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,42,Trễ hẹn
DVC-2026-002123,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,8,Đúng hạn
DVC-2026-007471,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,42,Trễ hẹn
DVC-2026-005604,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,2,Đúng hạn
DVC-2026-000018,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,1,Đúng hạn
DVC-2026-003944,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,1,Đúng hạn
DVC-2026-009807,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-002962,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,12,Đúng hạn
DVC-2026-000603,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,11,Đúng hạn
DVC-2026-001705,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,2,Đúng hạn
DVC-2026-003440,Xây dựng,Trực tiếp tại quầy,Tháng 2,6,Đúng hạn
DVC-2026-008450,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,6,Đúng hạn
DVC-2026-004139,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,31,Trễ hẹn
DVC-2026-003747,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,32,Trễ hẹn
DVC-2026-006188,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,11,Đúng hạn
DVC-2026-004777,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 4,11,Đúng hạn
DVC-2026-004620,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,42,Trễ hẹn
DVC-2026-007050,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-007467,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,5,Đúng hạn
DVC-2026-005115,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,4,Đúng hạn
DVC-2026-007651,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,11,Đúng hạn
DVC-2026-001970,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-007105,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,17,Trễ hẹn
DVC-2026-000698,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-007379,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,12,Đúng hạn
DVC-2026-008369,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,12,Đúng hạn
DVC-2026-005662,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,1,Đúng hạn
DVC-2026-002372,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,12,Đúng hạn
DVC-2026-009873,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,2,Đúng hạn
DVC-2026-008400,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,3,Đúng hạn
DVC-2026-008712,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,28,Trễ hẹn
DVC-2026-008766,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,26,Trễ hẹn
DVC-2026-004464,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,12,Đúng hạn
DVC-2026-000254,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,6,Đúng hạn
DVC-2026-002936,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,2,Đúng hạn
DVC-2026-005986,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,13,Đúng hạn
DVC-2026-003967,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 6,11,Đúng hạn
DVC-2026-005171,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,8,Đúng hạn
DVC-2026-009314,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-004993,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,29,Trễ hẹn
DVC-2026-003628,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,41,Trễ hẹn
DVC-2026-007055,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-002233,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,9,Đúng hạn
DVC-2026-008427,Xây dựng,Trực tuyến (DVC),Tháng 2,39,Trễ hẹn
DVC-2026-003296,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,12,Đúng hạn
DVC-2026-001311,Xây dựng,Trực tiếp tại quầy,Tháng 4,36,Trễ hẹn
DVC-2026-003913,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,39,Trễ hẹn
DVC-2026-008622,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,4,Đúng hạn
DVC-2026-005781,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,6,Đúng hạn
DVC-2026-006291,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,13,Đúng hạn
DVC-2026-006361,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,3,Đúng hạn
DVC-2026-002750,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,18,Trễ hẹn
DVC-2026-001158,Xây dựng,Trực tuyến (DVC),Tháng 2,5,Đúng hạn
DVC-2026-007460,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 4,34,Trễ hẹn
DVC-2026-001746,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,11,Đúng hạn
DVC-2026-004607,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,6,Đúng hạn
DVC-2026-000551,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,10,Đúng hạn
DVC-2026-008033,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,9,Đúng hạn
DVC-2026-002974,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,22,Trễ hẹn
DVC-2026-000503,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,12,Đúng hạn
DVC-2026-003321,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,10,Đúng hạn
DVC-2026-008520,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,6,Đúng hạn
DVC-2026-007236,Xây dựng,Trực tiếp tại quầy,Tháng 12,19,Trễ hẹn
DVC-2026-003327,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 8,5,Đúng hạn
DVC-2026-007711,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,12,Đúng hạn
DVC-2026-001535,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,8,Đúng hạn
DVC-2026-005879,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,7,Đúng hạn
DVC-2026-008821,Xây dựng,Trực tiếp tại quầy,Tháng 3,4,Đúng hạn
DVC-2026-003065,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,8,Đúng hạn
DVC-2026-000441,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,10,Đúng hạn
DVC-2026-000592,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,13,Đúng hạn
DVC-2026-006534,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,7,Đúng hạn
DVC-2026-001623,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,43,Trễ hẹn
DVC-2026-001756,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,1,Đúng hạn
DVC-2026-006140,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,3,Đúng hạn
DVC-2026-004377,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,13,Đúng hạn
DVC-2026-004901,Xây dựng,Trực tiếp tại quầy,Tháng 11,16,Trễ hẹn
DVC-2026-009814,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,21,Trễ hẹn
DVC-2026-005557,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,3,Đúng hạn
DVC-2026-004835,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,43,Trễ hẹn
DVC-2026-002610,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,8,Đúng hạn
DVC-2026-005052,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,33,Trễ hẹn
DVC-2026-005818,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,13,Đúng hạn
DVC-2026-007341,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,19,Trễ hẹn
DVC-2026-002526,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,23,Trễ hẹn
DVC-2026-002896,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,12,Đúng hạn
DVC-2026-003031,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,11,Đúng hạn
DVC-2026-002894,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 9,4,Đúng hạn
DVC-2026-004306,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,8,Đúng hạn
DVC-2026-002143,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,7,Đúng hạn
DVC-2026-003531,Xây dựng,Trực tuyến (DVC),Tháng 8,4,Đúng hạn
DVC-2026-003157,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,2,Đúng hạn
DVC-2026-001202,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 4,9,Đúng hạn
DVC-2026-003721,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,5,Đúng hạn
DVC-2026-005801,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,1,Đúng hạn
DVC-2026-005717,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,39,Trễ hẹn
DVC-2026-000676,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 9,40,Trễ hẹn
DVC-2026-008408,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,7,Đúng hạn
DVC-2026-009846,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,9,Đúng hạn
DVC-2026-008282,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,1,Đúng hạn
DVC-2026-000012,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,31,Trễ hẹn
DVC-2026-001791,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,3,Đúng hạn
DVC-2026-009485,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,10,Đúng hạn
DVC-2026-009157,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,7,Đúng hạn
DVC-2026-002352,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,8,Đúng hạn
DVC-2026-002550,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,29,Trễ hẹn
DVC-2026-002489,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,10,Đúng hạn
DVC-2026-004907,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,2,Đúng hạn
DVC-2026-006001,Xây dựng,Trực tuyến (DVC),Tháng 7,5,Đúng hạn
DVC-2026-003949,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-009086,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,38,Trễ hẹn
DVC-2026-003537,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,12,Đúng hạn
DVC-2026-007040,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-003835,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,13,Đúng hạn
DVC-2026-004381,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 1,9,Đúng hạn
DVC-2026-004736,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,1,Đúng hạn
DVC-2026-000206,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,8,Đúng hạn
DVC-2026-003716,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,7,Đúng hạn
DVC-2026-009514,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,6,Đúng hạn
DVC-2026-009634,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,9,Đúng hạn
DVC-2026-005027,Xây dựng,Trực tiếp tại quầy,Tháng 4,44,Trễ hẹn
DVC-2026-002477,Xây dựng,Trực tiếp tại quầy,Tháng 5,10,Đúng hạn
DVC-2026-001994,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-003484,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-002515,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,12,Đúng hạn
DVC-2026-004880,Xây dựng,Trực tiếp tại quầy,Tháng 3,2,Đúng hạn
DVC-2026-002633,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,41,Trễ hẹn
DVC-2026-006906,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 8,2,Đúng hạn
DVC-2026-002266,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,5,Đúng hạn
DVC-2026-006211,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-003714,Xây dựng,Trực tiếp tại quầy,Tháng 10,17,Trễ hẹn
DVC-2026-006069,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,6,Đúng hạn
DVC-2026-002747,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 8,43,Trễ hẹn
DVC-2026-007514,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 7,3,Đúng hạn
DVC-2026-007445,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,40,Trễ hẹn
DVC-2026-004322,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,19,Trễ hẹn
DVC-2026-006961,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,11,Đúng hạn
DVC-2026-005252,Xây dựng,Trực tuyến (DVC),Tháng 4,30,Trễ hẹn
DVC-2026-006419,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-003764,Xây dựng,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-006044,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 4,12,Đúng hạn
DVC-2026-001399,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,7,Đúng hạn
